,cap,cap_perc,level,path,read_data,total_iops,write_data,total_data
100,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-23/10-01-03.ts,7812640.0,9.0,0.0,7812640.0
101,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-23/18-01-03.ts,6738259.0,5.0,0.0,6738259.0
102,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-23/21-01-03.ts,10198491.0,5.0,0.0,10198491.0
103,1724952576,0.00133473406177,4,/tv-shows/FoxNews HD/2017-06-23/01-01-04.ts,14059314.0,10.0,0.0,14059314.0
104,1724952576,0.00133473406177,4,/tv-shows/FoxNews HD/2017-06-23/06-01-03.ts,7120690.0,5.0,0.0,7120690.0
105,1723908096,0.00133392586388,4,/tv-shows/FoxNews HD/2017-06-23/16-01-03.ts,10289629.0,9.0,0.0,10289629.0
106,1723904000,0.00133392269448,4,/tv-shows/FoxNews HD/2017-06-23/07-01-03.ts,8377274.0,12.0,0.0,8377274.0
107,1722859520,0.00133311449659,4,/tv-shows/FoxNews HD/2017-06-23/19-01-03.ts,6264625.0,4.0,0.0,6264625.0
108,1722859520,0.00133311449659,4,/tv-shows/FoxNews HD/2017-06-23/22-01-03.ts,8759771.0,10.0,0.0,8759771.0
109,41405235200,0.0320385490743,4,/tv-shows/FoxNews HD/2017-06-25,373948344.0,352.0,0.0,373948344.0
110,1729146880,0.00133797953095,4,/tv-shows/FoxNews HD/2017-06-25/04-01-03.ts,4616259.0,4.0,0.0,4616259.0
111,1728094208,0.00133716499425,4,/tv-shows/FoxNews HD/2017-06-25/03-01-03.ts,28434500.0,25.0,0.0,28434500.0
112,1727053824,0.00133635996576,4,/tv-shows/FoxNews HD/2017-06-25/02-01-03.ts,32889035.0,28.0,0.0,32889035.0
113,1727053824,0.00133635996576,4,/tv-shows/FoxNews HD/2017-06-25/10-01-03.ts,4316226.0,4.0,0.0,4316226.0
114,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-25/07-01-03.ts,8067889.0,4.0,0.0,8067889.0
115,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-25/09-01-04.ts,23882819.0,24.0,0.0,23882819.0
116,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-25/16-01-03.ts,4907622.0,5.0,0.0,4907622.0
117,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-25/17-01-03.ts,7885685.0,4.0,0.0,7885685.0
118,1726001152,0.00133554542906,4,/tv-shows/FoxNews HD/2017-06-25/06-01-03.ts,25519307.0,25.0,0.0,25519307.0
119,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-25/00-01-03.ts,27995680.0,23.0,0.0,27995680.0
120,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-25/01-01-03.ts,26045574.0,23.0,0.0,26045574.0
121,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-25/08-01-03.ts,3652607.0,3.0,0.0,3652607.0
122,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-25/12-01-03.ts,26976050.0,24.0,0.0,26976050.0
123,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-25/13-01-03.ts,2980317.0,4.0,0.0,2980317.0
124,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-25/14-01-03.ts,29757234.0,28.0,0.0,29757234.0
125,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-25/15-01-03.ts,6537965.0,4.0,0.0,6537965.0
126,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-25/20-01-03.ts,4526693.0,2.0,0.0,4526693.0
127,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-25/21-01-03.ts,23925280.0,21.0,0.0,23925280.0
128,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-25/23-01-03.ts,4425316.0,4.0,0.0,4425316.0
129,1724952576,0.00133473406177,4,/tv-shows/FoxNews HD/2017-06-25/19-01-03.ts,24106392.0,22.0,0.0,24106392.0
130,1723908096,0.00133392586388,4,/tv-shows/FoxNews HD/2017-06-25/18-01-03.ts,14193595.0,12.0,0.0,14193595.0
131,1722859520,0.00133311449659,4,/tv-shows/FoxNews HD/2017-06-25/11-01-03.ts,30106758.0,27.0,0.0,30106758.0
132,1721810944,0.00133230312929,4,/tv-shows/FoxNews HD/2017-06-25/05-01-03.ts,5372449.0,4.0,0.0,5372449.0
133,1720762368,0.001331491762,4,/tv-shows/FoxNews HD/2017-06-25/22-01-03.ts,2711756.0,2.0,0.0,2711756.0
134,41402097664,0.0320361213113,4,/tv-shows/FoxNews HD/2017-06-24,366658350.0,347.0,242705104.0,609363454.0
135,1728094208,0.00133716499425,4,/tv-shows/FoxNews HD/2017-06-24/03-01-03.ts,15407102.0,8.0,0.0,15407102.0
136,1727053824,0.00133635996576,4,/tv-shows/FoxNews HD/2017-06-24/21-01-03.ts,9451587.0,11.0,0.0,9451587.0
137,1727049728,0.00133635679636,4,/tv-shows/FoxNews HD/2017-06-24/04-01-03.ts,19468082.0,17.0,0.0,19468082.0
138,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-24/00-01-03.ts,14259609.0,11.0,0.0,14259609.0
139,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-24/01-01-03.ts,14532948.0,11.0,0.0,14532948.0
140,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-24/02-01-03.ts,18284611.0,13.0,0.0,18284611.0
141,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-24/07-01-03.ts,17428547.0,17.0,0.0,17428547.0
142,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-24/11-01-03.ts,16390279.0,12.0,0.0,16390279.0
143,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-24/14-01-03.ts,13403543.0,10.0,0.0,13403543.0
144,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-24/18-01-03.ts,12238094.0,10.0,0.0,12238094.0
145,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-24/20-01-03.ts,13076137.0,13.0,0.0,13076137.0
146,1726005248,0.00133554859847,4,/tv-shows/FoxNews HD/2017-06-24/23-01-03.ts,14441880.0,12.0,0.0,14441880.0
147,1724960768,0.00133474040058,4,/tv-shows/FoxNews HD/2017-06-24/17-01-03.ts,22091365.0,17.0,0.0,22091365.0
148,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-24/06-01-03.ts,19204367.0,12.0,0.0,19204367.0
149,1724956672,0.00133473723117,4,/tv-shows/FoxNews HD/2017-06-24/15-01-03.ts,16445370.0,12.0,0.0,16445370.0
150,1723908096,0.00133392586388,4,/tv-shows/FoxNews HD/2017-06-24/08-01-03.ts,13476589.0,12.0,0.0,13476589.0
151,1723908096,0.00133392586388,4,/tv-shows/FoxNews HD/2017-06-24/12-01-03.ts,12475323.0,10.0,0.0,12475323.0
152,1723908096,0.00133392586388,4,/tv-shows/FoxNews HD/2017-06-24/16-01-03.ts,12311141.0,16.0,0.0,12311141.0
153,1723908096,0.00133392586388,4,/tv-shows/FoxNews HD/2017-06-24/22-01-03.ts,17210229.0,16.0,0.0,17210229.0
154,1723904000,0.00133392269448,4,/tv-shows/FoxNews HD/2017-06-24/09-01-03.ts,15571215.0,15.0,0.0,15571215.0
155,1722859520,0.00133311449659,4,/tv-shows/FoxNews HD/2017-06-24/05-01-03.ts,18885358.0,16.0,0.0,18885358.0
156,1722859520,0.00133311449659,4,/tv-shows/FoxNews HD/2017-06-24/10-01-03.ts,16645596.0,16.0,0.0,16645596.0
157,1722859520,0.00133311449659,4,/tv-shows/FoxNews HD/2017-06-24/13-01-03.ts,14806220.0,14.0,0.0,14806220.0
158,1722859520,0.00133311449659,4,/tv-shows/FoxNews HD/2017-06-24/19-01-03.ts,9033042.0,11.0,0.0,9033042.0
